,Unnamed: 0,PatientAge,PatientGender,bmdtest_weight,bmdtest_height,heartdisease,diabetes,arthritis,respdisease,smoke,alcohol,oralster
18,18,-0.4408408231698115,-0.1224611486323109,-0.4223339652541021,-0.1379934644843689,-0.0706297008304612,-0.0809121184639278,-0.0744133117452313,-0.0467802918794775,-0.0848834922901442,-0.0277453008123167,-0.0205879222730565
19,19,-0.4417867272694331,-0.1515663655392607,-0.3485293067284403,-0.1358099613453786,-0.0647100907872449,-0.0541934751080745,-0.0869235820255036,-0.0710196141870457,-0.0815023178019517,-0.0290751681701531,-0.0229888347061553
20,20,-0.4864533598000969,-0.1441032602340038,-0.4102517150039878,-0.1283053988148902,-0.0731776641217395,-0.0917627316511374,-0.0944829786038831,-0.0470803791775286,-0.0961965811150572,-0.0358927107844211,-0.0154596479621853
21,21,-0.4726696826750806,-0.1602996860666541,-0.3419345723096435,-0.1182933216890613,-0.0553770055947561,-0.0622230115877292,-0.0612103842038599,-0.0496541760885579,-0.0764347207605627,-0.0266490357187546,-0.0272731863790791
22,22,-0.5160068010037836,-0.1240102370944494,-0.4392310785038132,-0.1425136227440263,-0.0557716843321252,-0.0735919143569278,-0.0647213714515609,-0.0690910552866449,-0.1059060850956735,-0.0258727034964186,-0.0139555652354977
23,23,-0.3828988280529773,-0.1847528697492138,-0.4402630531371032,-0.1216361976141701,-0.0776884575781756,-0.0769083513522318,-0.0653623776663725,-0.0681667538881561,-0.0868046757416398,-0.0297681390010734,-0.0337838856060378
24,24,-0.4782280203326291,-0.1615515421192582,-0.3981588334004662,-0.1212913888462261,-0.0755548013705386,-0.0618628129460043,-0.0827392592682085,-0.0746340103161784,-0.0868039063366111,-0.0288819630382629,-0.015377150273755
25,25,-0.4712513371962666,-0.1580860832737207,-0.3309272878987749,-0.1581999587457448,-0.0817712850191753,-0.0671293498570403,-0.0869354138247471,-0.0571806150275628,-0.0711198472855542,-0.0277851197705731,-0.0220809914621259
26,26,-0.4714096065616023,-0.1415114059728458,-0.3966125613992846,-0.1420969687632193,-0.0914605230496795,-0.0749928333415427,-0.0885813742119362,-0.0432233242216235,-0.078337738176861,-0.0259907344328476,-0.0122355062488777
27,27,-0.4152907301529152,-0.1595563786470133,-0.4027044378975369,-0.143424919273899,-0.0620078493447018,-0.0699062558196101,-0.0693074336576337,-0.0571535528120541,-0.0681942156717747,-0.0273570722318551,-0.0229760881180207
