,Unnamed: 0,PatientAge,PatientGender,bmi,clavicle,shoulder,elbow,femur,wrist,tibfib,parentbreak,alcohol,arthritis,cancer,diabetes,heartdisease,smoke,respdisease,age_gender,age_bmi,gender_bmi
10,10,-0.1966525891971701,-0.2595947366406618,-0.6997716942642312,-0.0026561163782246,-0.0146426666298998,-0.0038763197944303,0.0008538469327173,-0.0486401189693356,-0.0030171586359568,-0.0003854409385789,-0.0096666432357028,-0.0041106543603142,0.0008770048889505,0.0002526587297417,-0.0071313202644068,-0.0016122064423873,-0.000856549457445,-0.3155248771190303,-0.7004950964048852,-0.0435375662216007
11,11,-0.1518144869884812,-0.2605442902299174,-0.7808908320253715,-0.003649138251241,-0.0301327872144365,-0.0112823211899504,0.0004029019564572,-0.0315774010392335,-0.0005446213988388,-0.0007322460377964,-0.0136929103029795,-0.0046705342887615,-0.0008699302845319,-0.0001431156857079,-0.0086337550072997,-0.0083476454496356,-0.0010559750659245,-0.3336802371151582,-0.5576832134414315,-0.0422348529857296
12,12,-0.1541829317121135,-0.2946426042172406,-0.737468105105829,-0.0012733590144629,-0.009141016247844,-0.003594516096144,4.817417284186387e-05,-0.0701021511664095,-0.0045425719983228,-0.0003564556324263,-0.0153417803442683,-0.0032313917345971,0.0010460535946043,0.000454650316864,-0.0019146045219098,-0.0043704246049992,0.00127045063219,-0.3119353209888879,-0.4988261352387034,-0.0458501687526604
13,13,-0.1830604660588615,-0.3140885653487922,-0.7773156424582676,-0.0023842705249272,-0.0210591550741333,-0.0102647735135122,0.0004012363844276,-0.0487722856331253,-0.0080874518831479,-0.0020790985747738,-0.0087544166317835,-0.0072108188819496,-0.0021595208141695,-0.0004351090585082,-0.0014002634431115,-0.008882585645348,-0.0006884200442203,-0.2614088106273141,-0.5726707963648282,-0.0356945638899471
14,14,-0.190689490070648,-0.2403522888469341,-0.8496089395886232,-0.0018984889244965,-0.0256189908377311,-0.0130366069100057,-0.0004382793867262,-0.0559857628777925,-0.0013126299072537,0.0001427238512023,-0.0099907444532612,-0.0034266707501056,0.0001797137689265,-0.0009004618575922,-0.0062768445096379,-0.0055881133679259,0.0003078586516591,-0.3455810719481061,-0.5578826383177203,-0.0615157548444469
15,15,-0.1516771043966204,-0.3033274168587591,-0.7583534667418254,-0.0022934328099942,-0.0242651938633364,-0.0066428964184815,-0.0004727642130412,-0.056347467417684,-0.0008256373357009,-0.0004594521552595,-0.0125190658304921,-0.0038277702929934,-0.0010628684311581,-0.0001308212987385,-0.0065659567935885,-0.0161937301433122,-0.0021587653090771,-0.2852374460033736,-0.5524825231753211,-0.0358441982395641
16,16,-0.1649278466266931,-0.2719653093639217,-0.9110890500106188,0.0005210682190373,-0.0225015241069418,-0.0054286201428099,-6.578980511251498e-05,-0.0533636377086582,-0.0044189059130663,-0.0012432807606778,-0.006576570752481,-0.0061118051510734,0.00011024317182,5.518454003272666e-05,-0.0028663469599405,-0.0041727202051382,-0.0024713848566693,-0.3266078721039683,-0.5434739658820676,-0.0632480784801526
17,17,-0.2182404733626602,-0.2763176324595359,-0.8258519826080116,-0.0027211674502849,-0.0211996472011256,-0.0131932932126369,4.774803422724627e-05,-0.0363711171919599,-0.0042190366618967,-0.0008529183719532,-0.0155308470434991,-0.0044483423188175,-0.0017815614251069,-0.0003327099191039,-0.0025601654166423,-0.004885492349921,0.0023770506229741,-0.2876440607749365,-0.6351047395192323,-0.0523027982827767
18,18,-0.1766593044800389,-0.2835185008493289,-0.7940557393255095,0.0004421919306991,-0.0239589401325954,-0.0141897980525802,-0.0008130278145828,-0.0501726218270988,-0.0047879292391456,-0.0005627362007695,-0.011983600937187,-0.0026183016486732,-0.000272996226023,-1.945020080773574e-06,-0.0082232210786634,0.0026794353184187,-0.0014312342626642,-0.3160151039515694,-0.5614459038141887,-0.0470442322767333
19,19,-0.1652132845949497,-0.3010855640907924,-0.7986722970042671,-0.002252980146764,-0.0234698324157284,-0.0064252104184338,0.0003309608651863,-0.0560721752767188,-0.0035088989433218,0.0001359205684304,-0.0150644924002275,-0.0028091847959392,-0.0014224496910854,-0.0003211094198165,-0.003497064522393,-0.0028332497577733,-0.0007026411437957,-0.2608917238740104,-0.5087744260994774,-0.0338277704589559
20,20,-0.1750760192925065,-0.3124303024039755,-0.7162248141549338,-0.0037477267287893,-0.027476803110307,-0.0142120168415692,-0.0001251458774239,-0.0506539639766913,-0.0077179168852201,-0.0006473552242265,-0.0177606889791597,-0.0068520668654203,-0.0011780782000474,5.432564415119856e-05,-0.0058563655367069,-0.0032791892725381,0.000589326311654,-0.2885440318184157,-0.6869384336371579,-0.0204424304607778
21,21,-0.1970001732703623,-0.334551620933358,-0.8002865162120042,0.0013034193721662,-0.00805368860337,-0.0164232866588059,0.0005030573437954,-0.058370200023891,-0.0029838033623539,0.0011399967920188,-0.0048184288481589,-0.0043114117153775,-0.0028696775209253,0.0002380418262976,-0.0054865271767559,-0.0035981428411139,0.0004055347741865,-0.2795859410942357,-0.6918173976232666,-0.0282645648679943
22,22,-0.1624694942353711,-0.3051571384657608,-0.914960249852023,-0.0057176886150885,-0.0167655220356695,-0.008426235765259,-0.0005447415012631,-0.0574364509353033,-0.0043199604094953,0.0012507884484009,-0.0154533410718589,-0.0038799611343309,0.0002580006117183,-0.0006332671475637,0.0013743222752596,-0.0074750409124719,0.0004284860033126,-0.3101064167363642,-0.5689822085968054,-0.0480419823366514
23,23,-0.1782174008509873,-0.2926815527368135,-0.796777722909218,0.0012866340389976,-0.0255593391150299,-0.0013313240230052,7.456358127744256e-05,-0.048561874235427,-0.0082751947525195,-0.0017331751389794,-0.007747944655694,-0.0038278241988016,-0.0005937803530455,0.000189570508268,-0.0110910479832269,-0.005355706973018,-0.0003184903606275,-0.2729792479969063,-0.6204098903752976,-0.0335995843803229
24,24,-0.1626612699545465,-0.3245274903053251,-0.9467290946991916,-0.002432478355308,-0.0198823514709068,-0.0060806585474921,-0.000326225947145,-0.0540004422264539,-0.0049441123839356,-0.0010638953514719,-0.0121069657626922,-0.0044712155959524,-0.0025700581690538,-0.0004889506999573,0.0009422995041711,-0.0137467923266801,-0.000658936498409,-0.2797900903371856,-0.475699723444042,-0.0485521966800449
25,25,-0.1876647777330971,-0.2998463319136856,-0.9313046094635652,-0.0036674332412578,-0.0301591597196598,-0.0055481108639972,0.000411336483242,-0.0445571746910408,-0.0020452194367313,-0.000789603462255,-0.0143464402433244,-0.0022242101145483,0.0004634175237104,-0.0002493503269828,-0.0079764874096335,-0.0144035038854332,-0.0014358140575703,-0.2973088998690164,-0.5841494050996042,-0.0458053114875285
26,26,-0.1811656518497354,-0.348268023403934,-0.8003940329569345,-0.0058891190646094,-0.0264029804939317,-0.0098923075001405,-0.0003911631589261,-0.0497635399422623,-0.0033749059608628,0.0001127578632313,-0.0058976546685519,-0.0045296831403786,1.811689756492374e-05,0.0005999448106336,-0.0044895288835958,-0.006887742553856,-0.0001425708675562,-0.2325832931181196,-0.6020404557885063,-0.0236247903761221
27,27,-0.1861275388630285,-0.3546048625535251,-0.8377473832474011,-0.0010781686881711,-0.0221110509836051,-0.0166245708098859,0.0001921306692058,-0.0508797251470407,-0.0002893036256147,0.000308901718466,-0.0095276464973983,-0.002125283048481,-0.0018958518125494,0.0008744671008653,-0.0031019681335291,-0.0054580193773299,-8.017726767794997e-05,-0.2512851614593238,-0.5762096770264581,-0.0302641367527802
28,28,-0.2095230834131313,-0.2944919502595392,-0.8289937875360319,9.941178457228972e-05,-0.0198599155075985,-0.0092177661804955,-0.000613480542195,-0.061804295964281,-0.0046016292675821,-0.001664316801235,-0.0138115052176829,-0.0062181865947347,-0.0006787627439706,-0.0006350123566121,-0.0031202040070057,-0.0083464299777621,-0.0002118018635017,-0.2461750111718993,-0.6394470372579485,-0.0377280388575338
