PatientAge,bmdtest_height,bmdtest_weight,bmdtest_tscore_fn,PatientGender,parentbreak,ptunsteady,whereliv,education,alcohol,wasfractdue2fall,ptfall,fxworried,notworking,marital,arthritis,cancer,diabetes,heartdisease,respdisease,howbreak,hip,ankle,clavicle,elbow,femur,spine,wrist,shoulder,tibfib
70,157.5,65,-1.3,1,0,0,2,3,0,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,161,77.7,-0.3,1,0,0,2,4,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70,157.5,90.5,-1.4,1,0,0,2,3,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
69,173,100,-2.7,2,0,1,2,4,0,1,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
80,165,57,-1.3,1,0,0,2,3,0,1,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
69,159,78.2,-1.9,1,0,0,2,3,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
59,161,80,-2,2,0,0,7,3,0,1,0,0,1,8,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
63,158,51,-2,1,0,0,2,3,0,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70,160,71.9,-1.3,1,0,0,2,3,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
76,168,72,-2.4,2,0,0,1,3,0,1,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
74,149.5,49.4,-2,1,0,0,2,3,0,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
77,175,80.9,-2.5,2,0,0,2,3,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
70,150,96.8,-2,1,0,1,2,4,0,1,1,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
60,157,55.8,-1.9,1,0,0,2,3,0,1,0,1,1,3,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
77,168,66.1,-1.9,2,0,0,2,3,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
66,162.5,67.8,-1.3,1,0,0,2,3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
56,170,73,-1.6,1,0,0,2,3,0,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
79,165,108,0,1,0,1,2,3,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60,160,56.3,-2.2,1,0,0,2,5,0,1,0,2,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
